0.06344,0.0911,0.10471,0.10578,0.12645,0.12547,0.14754,0.10478,0.10844,0.15316,0.15345,0.12036,0.13381,6
0.09848,0.13817,0.15502,0.15486,0.19294,0.1955,0.22589,0.16775,0.18241,0.25313,0.24886,0.19802,0.20073,12
0.07697,0.07676,0.06881,0.06466,0.06834,0.06391,0.07045,0.04936,0.05292,0.1023,0.11184,0.09814,0.11502,13
0.10019,0.17811,0.23729,0.24829,0.30065,0.30531,0.35972,0.2539,0.2702,0.38231,0.39776,0.34232,0.34289,2
0.18692,0.19454,0.1789,0.16126,0.16074,0.11763,0.11672,0.09094,0.106,0.17424,0.18483,0.16257,0.18275,13
0.02628,0.05475,0.04218,0.05295,0.43954,0.43799,0.47336,0.24678,0.10957,0.06096,0.09547,0.08107,0.0855,19
0.01515,0.02586,0.01945,0.02668,0.23061,0.26879,0.31218,0.17205,0.06791,0.03469,0.05545,0.0501,0.0646,17
0.08663,0.11517,0.12963,0.1307,0.15777,0.15597,0.17636,0.12488,0.12385,0.17793,0.17968,0.14071,0.15242,1
0.17242,0.27992,0.35514,0.36945,0.44188,0.43228,0.50086,0.36097,0.3605,0.51005,0.51271,0.41066,0.41241,2
0.08991,0.12224,0.13508,0.13426,0.15864,0.14782,0.16101,0.11041,0.12036,0.17946,0.17931,0.14771,0.16015,6
0.0514,0.06248,0.06804,0.06875,0.09061,0.09234,0.1041,0.0756,0.07877,0.11693,0.11715,0.1029,0.11674,3
0.20346,0.22994,0.21929,0.19878,0.19738,0.15243,0.14759,0.09545,0.09145,0.13192,0.13382,0.11769,0.12122,5
0.0527,0.0738,0.07926,0.08603,0.14522,0.17571,0.23573,0.19447,0.2462,0.4258,0.45334,0.3934,0.39374,8
0.16363,0.17793,0.16504,0.14844,0.14122,0.10035,0.10434,0.09247,0.11382,0.18855,0.19392,0.16211,0.17594,13
0.16075,0.15974,0.15489,0.14732,0.163,0.1598,0.20783,0.17507,0.14518,0.18702,0.15963,0.09484,0.09469,25
0.25136,0.37605,0.43269,0.43336,0.51591,0.48482,0.55248,0.39175,0.38219,0.50403,0.48485,0.33395,0.35671,4
0.03484,0.04965,0.06304,0.07147,0.12999,0.16063,0.19077,0.14132,0.12821,0.15107,0.15258,0.12923,0.13741,10
0.01416,0.01201,0.01308,0.02122,0.24025,0.2785,0.31337,0.16736,0.06706,0.03995,0.05858,0.04977,0.06766,17
